repeat,fold,model,n_masked,auprc,auroc
5,2,wrist_only_channels,50,0.39250960613353225,0.7457676590776415
5,3,none (baseline),0,0.5398052771452763,0.81304920913884
5,3,drop hr,7,0.553011769627329,0.7857352079671939
5,3,drop rr,7,0.5488839608392992,0.79203280609256
5,3,drop spo2,7,0.4523128076897813,0.7759958992384299
5,3,drop sbp,7,0.528922763219966,0.7713093145869948
5,3,drop map,7,0.519622897660398,0.7937902753368482
5,3,drop temp_c,7,0.5346412325349719,0.7574692442882249
5,3,drop gcs_total,7,0.5728514764689684,0.8528119507908613
5,3,drop fio2,7,0.46992401470500816,0.804701230228471
5,3,drop glucose,7,0.5580474928677196,0.8495166959578208
5,3,post_discharge_realistic,22,0.4698196377841953,0.8054335090802578
5,3,wrist_only_channels,50,0.23319849099196902,0.7154730521382543
5,4,none (baseline),0,0.5257993454680794,0.8116379310344828
5,4,drop hr,7,0.5189402151121274,0.7710488505747126
5,4,drop rr,7,0.5572295730530974,0.8145114942528736
5,4,drop spo2,7,0.5455837410209999,0.8291666666666667
5,4,drop sbp,7,0.515117237133211,0.855603448275862
5,4,drop map,7,0.5216524942697276,0.8237068965517241
5,4,drop temp_c,7,0.4565872613432662,0.7936063218390805
5,4,drop gcs_total,7,0.43297716319815516,0.7774425287356321
5,4,drop fio2,7,0.42691286675672957,0.8102729885057471
5,4,drop glucose,7,0.5080336328975087,0.8147988505747127
5,4,post_discharge_realistic,22,0.3330912967293017,0.6709770114942528
5,4,wrist_only_channels,50,0.24061788856057223,0.6688936781609196
6,0,none (baseline),0,0.49044175934730994,0.7898327464788732
6,0,drop hr,7,0.5258788305902309,0.8622359154929577
6,0,drop rr,7,0.5059775899571897,0.7764084507042254
6,0,drop spo2,7,0.45138483450543904,0.7890991784037559
6,0,drop sbp,7,0.43186541457022937,0.7992224178403755
6,0,drop map,7,0.494305104036407,0.7810299295774649
6,0,drop temp_c,7,0.5025851735885618,0.8416226525821596
6,0,drop gcs_total,7,0.5084902508778688,0.872505868544601
6,0,drop fio2,7,0.3740219057691058,0.7607834507042254
6,0,drop glucose,7,0.4910335974785547,0.8047241784037559
6,0,post_discharge_realistic,22,0.3077505440067587,0.7811032863849764
6,0,wrist_only_channels,50,0.4480785456530859,0.7788292253521126
6,1,none (baseline),0,0.4502630143703012,0.7501480165778568
6,1,drop hr,7,0.42676189059560665,0.7761249259917111
6,1,drop rr,7,0.4625985524485658,0.748963883955003
6,1,drop spo2,7,0.40574211797589316,0.7662818235642392
6,1,drop sbp,7,0.4449977511446744,0.7098134991119006
6,1,drop map,7,0.4458286809677676,0.767465956187093
6,1,drop temp_c,7,0.44636251335578303,0.7136619301361752
6,1,drop gcs_total,7,0.4980779787889659,0.8394760213143873
6,1,drop fio2,7,0.46982403929242217,0.7640615748963885
6,1,drop glucose,7,0.4424027140989113,0.7391947898164594
6,1,post_discharge_realistic,22,0.4343350353783,0.8795885139135583
6,1,wrist_only_channels,50,0.3426674184664565,0.7797513321492008
6,2,none (baseline),0,0.39927752939918515,0.8353413654618473
6,2,drop hr,7,0.38108100520634447,0.7282702237521514
6,2,drop rr,7,0.45351103911210205,0.8045754446356855
6,2,drop spo2,7,0.38201674057861185,0.7791164658634537
6,2,drop sbp,7,0.3999350487432617,0.8631669535283992
6,2,drop map,7,0.41521316553111925,0.8365605278255881
6,2,drop temp_c,7,0.368389290593212,0.7722317842799771
6,2,drop gcs_total,7,0.3353588629718703,0.7668531267928859
6,2,drop fio2,7,0.40043587749895826,0.8383534136546185
6,2,drop glucose,7,0.410698458944452,0.8358433734939759
6,2,post_discharge_realistic,22,0.35084417751525687,0.7314974182444063
6,2,wrist_only_channels,50,0.3683382795591768,0.7078313253012049
6,3,none (baseline),0,0.6126118064798451,0.8879359634076616
6,3,drop hr,7,0.5282507507813345,0.8455546026300743
6,3,drop rr,7,0.5434691972533885,0.8471269296740995
6,3,drop spo2,7,0.6566460184081548,0.8709262435677531
6,3,drop sbp,7,0.5356131194973972,0.8413379073756433
6,3,drop map,7,0.5819858085609485,0.872284162378502
6,3,drop temp_c,7,0.48141190096390496,0.8181818181818181
6,3,drop gcs_total,7,0.5537075073340885,0.9010863350485993
6,3,drop fio2,7,0.43395390559130936,0.8560606060606061
6,3,drop glucose,7,0.6204040123617407,0.914308176100629
6,3,post_discharge_realistic,22,0.2575691006903621,0.7367781589479702
6,3,wrist_only_channels,50,0.19803370638469264,0.5931961120640366
6,4,none (baseline),0,0.39022085409934815,0.7302748226950354
6,4,drop hr,7,0.41781662730433966,0.7203752955082743
6,4,drop rr,7,0.37726663266039623,0.6626034278959811
6,4,drop spo2,7,0.38948561433546564,0.7248079196217495
6,4,drop sbp,7,0.36047622711064353,0.6986554373522459
6,4,drop map,7,0.3774321716102736,0.7012411347517731
6,4,drop temp_c,7,0.36791044223233543,0.7208185579196218
6,4,drop gcs_total,7,0.33894329394400335,0.7443114657210402
6,4,drop fio2,7,0.23514256362535252,0.7429816784869977
6,4,drop glucose,7,0.3796874121965101,0.7143173758865248
6,4,post_discharge_realistic,22,0.14068692911512692,0.6597960992907801
6,4,wrist_only_channels,50,0.06777670086635124,0.5292553191489363
7,0,none (baseline),0,0.4338932853330047,0.8282073813708261
7,0,drop hr,7,0.47362413513223633,0.8299648506151142
7,0,drop rr,7,0.45610339413421774,0.825058582308143
7,0,drop spo2,7,0.3610658603880079,0.7507322788517867
7,0,drop sbp,7,0.3963120525313847,0.8594756883421206
7,0,drop map,7,0.4780695865874464,0.8497363796133567
7,0,drop temp_c,7,0.4552598108302934,0.8509812536613942
7,0,drop gcs_total,7,0.4275452442241697,0.9082454598711189
7,0,drop fio2,7,0.34592253913679094,0.8187609841827768
7,0,drop glucose,7,0.43889011978555503,0.8409490333919156
7,0,post_discharge_realistic,22,0.4083006011581327,0.8927943760984184
7,0,wrist_only_channels,50,0.3288249494511962,0.8755858230814294
7,1,none (baseline),0,0.6009583800440206,0.9232226107226107
7,1,drop hr,7,0.5882966004573188,0.9106934731934733
7,1,drop rr,7,0.7100004771421871,0.9709353146853147
7,1,drop spo2,7,0.6124609835356024,0.9385198135198136
7,1,drop sbp,7,0.6319698410051329,0.8626165501165501
7,1,drop map,7,0.6138856964918903,0.9286130536130536
7,1,drop temp_c,7,0.5903005261179133,0.8760198135198135
7,1,drop gcs_total,7,0.4688512644834084,0.8433857808857809
7,1,drop fio2,7,0.4612222850079194,0.8956148018648019
7,1,drop glucose,7,0.613496498380313,0.93006993006993
7,1,post_discharge_realistic,22,0.1863045771393673,0.6985722610722611
7,1,wrist_only_channels,50,0.3768644887364402,0.7459935897435899
7,2,none (baseline),0,0.399262116345091,0.8599075678798382
7,2,drop hr,7,0.3899357476803628,0.7912333911034085
7,2,drop rr,7,0.3871398751726418,0.782784517619873
7,2,drop spo2,7,0.34268174191227785,0.7434286539572501
7,2,drop sbp,7,0.3747840857997021,0.8326834199884459
7,2,drop map,7,0.3945108052115105,0.8518919699595611
7,2,drop temp_c,7,0.3885471918165437,0.8222848064702484
7,2,drop gcs_total,7,0.33905313067256765,0.8934864240323512
7,2,drop fio2,7,0.3422872149142735,0.8181686886192953
7,2,drop glucose,7,0.4109180484956873,0.8755777007510109
7,2,post_discharge_realistic,22,0.24368288191311396,0.7585932986712883
7,2,wrist_only_channels,50,0.13424718321205742,0.6454361640670132
7,3,none (baseline),0,0.4250193832459765,0.8445175438596492
