model,repeat,fold,auroc,auprc,n_test,n_pos_test
wrist_consumer,13,3,0.7137650085763293,0.423935344788242,607,24
wrist_consumer,13,4,0.642434988179669,0.161830664256309,588,24
wrist_consumer,14,0,0.7605994152046784,0.32608430282309425,594,24
wrist_consumer,14,1,0.8597508591065293,0.36839398217312336,606,24
wrist_consumer,14,2,0.7885856807511736,0.3130112295090463,592,24
wrist_consumer,14,3,0.7623538011695906,0.4183425339901193,594,24
wrist_consumer,14,4,0.7500732278851787,0.1806691920319326,593,24
wrist_consumer,15,0,0.8074838898652607,0.32806741674075496,593,24
wrist_consumer,15,1,0.8561388410786002,0.28272118922099204,605,24
wrist_consumer,15,2,0.7202486678507993,0.28728485956047595,587,24
wrist_consumer,15,3,0.6599557522123893,0.3192921497700083,589,24
wrist_consumer,15,4,0.7058950086058521,0.15571476761339118,605,24
wrist_consumer,16,0,0.8268045774647887,0.4080796901300975,592,24
wrist_consumer,16,1,0.7979573712255773,0.39303651848708765,587,24
wrist_consumer,16,2,0.5684165232358004,0.1616434009863073,605,24
wrist_consumer,16,3,0.7144082332761578,0.23784788353739694,607,24
wrist_consumer,16,4,0.6476063829787235,0.21474402138214804,588,24
wrist_consumer,17,0,0.7084780092592593,0.36248407149652057,600,24
wrist_consumer,17,1,0.7853759621077562,0.2599628448537008,587,24
wrist_consumer,17,2,0.7005983654407473,0.3209997096260861,595,24
wrist_consumer,17,3,0.7196104276508495,0.2587018502828039,593,24
wrist_consumer,17,4,0.7107758620689655,0.1535928071948348,604,24
wrist_consumer,18,0,0.7431278935185186,0.2504431277950379,600,24
wrist_consumer,18,1,0.8049141503848432,0.32268258176695214,587,24
wrist_consumer,18,2,0.7068009340338587,0.3659900146267882,595,24
wrist_consumer,18,3,0.666593438781488,0.21773560598174635,593,24
wrist_consumer,18,4,0.695007183908046,0.14501542548630902,604,24
wrist_consumer,19,0,0.8164909197422379,0.3110521224745095,593,24
wrist_consumer,19,1,0.8187751004016065,0.2818029602065195,605,24
wrist_consumer,19,2,0.698601243339254,0.25433504425398284,587,24
wrist_consumer,19,3,0.6752212389380531,0.21361159555709575,589,24
wrist_consumer,19,4,0.8051491681009754,0.3243780065700813,605,24
wrist_strict,0,0,0.6289108187134502,0.1451869251623877,594,24
wrist_strict,0,1,0.808061282932417,0.35011108519204903,606,24
wrist_strict,0,2,0.6856294014084506,0.1889746841676575,592,24
wrist_strict,0,3,0.7172514619883041,0.12736187518254868,594,24
wrist_strict,0,4,0.6831795547744581,0.18570560579755999,593,24
wrist_strict,1,0,0.8574486301369864,0.28170440807595704,608,24
wrist_strict,1,1,0.7946217494089836,0.32032939385868814,588,24
wrist_strict,1,2,0.7206816868861929,0.1795092634823166,601,24
wrist_strict,1,3,0.6192579505300353,0.21296595831786846,590,24
wrist_strict,1,4,0.636993838028169,0.06730931265585391,592,24
wrist_strict,2,0,0.6382309941520469,0.1800609100958608,594,24
wrist_strict,2,1,0.7777061855670103,0.31077245650400154,606,24
wrist_strict,2,2,0.6335093896713615,0.16183215780969332,592,24
wrist_strict,2,3,0.7515716374269006,0.31555198786651295,594,24
wrist_strict,2,4,0.7218804920913884,0.21451731567002966,593,24
wrist_strict,3,0,0.6615497076023391,0.1719483764281961,594,24
wrist_strict,3,1,0.7482101947308133,0.29538696396868347,606,24
wrist_strict,3,2,0.6719483568075117,0.1389169257613993,592,24
wrist_strict,3,3,0.7150584795321637,0.17987053945734857,594,24
wrist_strict,3,4,0.7413591095489163,0.23836583997612937,593,24
wrist_strict,4,0,0.8512414383561644,0.351032238054984,608,24
wrist_strict,4,1,0.7856456855791962,0.28670217721162916,588,24
wrist_strict,4,2,0.6946129404968227,0.2819770495599526,601,24
wrist_strict,4,3,0.6213560070671379,0.13183794187081965,590,24
wrist_strict,4,4,0.6672901995305165,0.16242967419210858,592,24
wrist_strict,5,0,0.8084852430555556,0.1858039868650066,600,24
wrist_strict,5,1,0.6986382474837182,0.196768652111398,587,24
wrist_strict,5,2,0.6769556333917105,0.37236083205611314,595,24
wrist_strict,5,3,0.7128002343292326,0.15257403073065862,593,24
wrist_strict,5,4,0.6362787356321838,0.24252380603108725,604,24
wrist_strict,6,0,0.7938673708920189,0.24434458286654517,592,24
wrist_strict,6,1,0.7294256956779159,0.43189120389945795,587,24
wrist_strict,6,2,0.7034925415949512,0.28048537812383173,605,24
wrist_strict,6,3,0.7650800457404231,0.2127514483082178,607,24
wrist_strict,6,4,0.4489878841607565,0.03758272323985894,588,24
wrist_strict,7,0,0.8532513181019332,0.18953428678202727,593,24
wrist_strict,7,1,0.8236451048951049,0.32937889868115655,596,24
wrist_strict,7,2,0.7567157712305025,0.31666662516168254,601,24
wrist_strict,7,3,0.6398391812865497,0.12966435521213357,594,24
wrist_strict,7,4,0.6006640396964389,0.13850447286163767,595,24
wrist_strict,8,0,0.8623759486281378,0.23670371139838892,595,24
wrist_strict,8,1,0.7348684210526316,0.28827035954186214,594,24
wrist_strict,8,2,0.7988033448673587,0.3251184982769216,602,24
wrist_strict,8,3,0.8112551259519625,0.2968865127470222,593,24
wrist_strict,8,4,0.611171920607122,0.13533232686455374,595,24
wrist_strict,9,0,0.8225322202694786,0.30681592639894134,593,24
wrist_strict,9,1,0.6912292025243832,0.22880117218647306,605,24
wrist_strict,9,2,0.6906453522794553,0.26408436844779315,587,24
wrist_strict,9,3,0.6834439528023599,0.3094325023342437,589,24
wrist_strict,9,4,0.6731569133677566,0.1254425178610876,605,24
wrist_strict,10,0,0.8471389840182648,0.3053594070552785,608,24
wrist_strict,10,1,0.7669547872340425,0.25165415087153653,588,24
wrist_strict,10,2,0.7475447718082033,0.19810361218531264,601,24
wrist_strict,10,3,0.6349381625441696,0.18963293814319154,590,24
wrist_strict,10,4,0.6095950704225352,0.08713916551366915,592,24
wrist_strict,11,0,0.8355807648401826,0.3545523367558345,608,24
