repeat,fold,kit,arm,auprc,auroc
5,4,watch_only,masked_at_inference,0.18960967004897444,0.823706896551724
5,4,watch_only,dropout_trained,0.3675182076677742,0.8563936781609195
5,4,watch_plus_cuff,masked_at_inference,0.23513949769764167,0.7778735632183907
5,4,watch_plus_cuff,dropout_trained,0.41633788187021703,0.8468390804597701
5,4,full_home,masked_at_inference,0.2764476454509508,0.7835488505747127
5,4,full_home,dropout_trained,0.4298121462761103,0.8425287356321839
6,0,icu_full,masked_at_inference,0.5258205663197494,0.8601085680751174
6,0,icu_full,dropout_trained,0.42467633914539255,0.8707453051643192
6,0,watch_only,masked_at_inference,0.555171060250023,0.8757702464788732
6,0,watch_only,dropout_trained,0.3825272573416002,0.8445569248826291
6,0,watch_plus_cuff,masked_at_inference,0.38924181721532486,0.8809419014084507
6,0,watch_plus_cuff,dropout_trained,0.3957360175169415,0.8690580985915493
6,0,full_home,masked_at_inference,0.40220702642820993,0.9050762910798121
6,0,full_home,dropout_trained,0.3962806682265473,0.8692781690140845
6,1,icu_full,masked_at_inference,0.4249550272361488,0.7583629366489046
6,1,icu_full,dropout_trained,0.45075994250657747,0.7266873889875667
6,1,watch_only,masked_at_inference,0.3593272233881373,0.7628774422735346
6,1,watch_only,dropout_trained,0.44705473599249307,0.7106275902901125
6,1,watch_plus_cuff,masked_at_inference,0.5252823366141074,0.917554766133807
6,1,watch_plus_cuff,dropout_trained,0.4301144309856979,0.7247631734754292
6,1,full_home,masked_at_inference,0.49114038193030024,0.9023090586145648
6,1,full_home,dropout_trained,0.4324656057719077,0.7207667258732978
6,2,icu_full,masked_at_inference,0.3981015043456477,0.9049770510613884
6,2,icu_full,dropout_trained,0.42591600942063,0.878944348823867
6,2,watch_only,masked_at_inference,0.27837540499920893,0.8660714285714286
6,2,watch_only,dropout_trained,0.3328763475317593,0.868330464716007
6,2,watch_plus_cuff,masked_at_inference,0.29782848295826525,0.8881956397016638
6,2,watch_plus_cuff,dropout_trained,0.3870060265086482,0.885255306942054
6,2,full_home,masked_at_inference,0.27635787390277794,0.8695496270797476
6,2,full_home,dropout_trained,0.38933290062864273,0.8848967297762478
6,3,icu_full,masked_at_inference,0.5622686233472891,0.866923956546598
6,3,icu_full,dropout_trained,0.3541786087110587,0.8116781017724414
6,3,watch_only,masked_at_inference,0.1831752566502109,0.5748284734133791
6,3,watch_only,dropout_trained,0.3562753941560057,0.807032590051458
6,3,watch_plus_cuff,masked_at_inference,0.2321340391013566,0.6836049170954831
6,3,watch_plus_cuff,dropout_trained,0.3421972014146683,0.8035305889079474
6,3,full_home,masked_at_inference,0.242215103801911,0.6759576901086335
6,3,full_home,dropout_trained,0.34273068031491216,0.8021012006861064
6,4,icu_full,masked_at_inference,0.33155553382889263,0.7358156028368794
6,4,icu_full,dropout_trained,0.25685414329876166,0.8225472813238771
6,4,watch_only,masked_at_inference,0.08281876217499116,0.5339834515366431
6,4,watch_only,dropout_trained,0.18804389700493498,0.8034869976359338
6,4,watch_plus_cuff,masked_at_inference,0.16601790866762922,0.6457594562647754
6,4,watch_plus_cuff,dropout_trained,0.18675923177230763,0.8167848699763594
6,4,full_home,masked_at_inference,0.15803832844194093,0.6492316784869976
6,4,full_home,dropout_trained,0.18675923177230763,0.8167848699763594
7,0,icu_full,masked_at_inference,0.44951573271131895,0.8296719390743995
7,0,icu_full,dropout_trained,0.3815231635122969,0.8332601054481548
7,0,watch_only,masked_at_inference,0.2890306316109703,0.8208113649677797
7,0,watch_only,dropout_trained,0.2651574811278172,0.8119507908611598
7,0,watch_plus_cuff,masked_at_inference,0.31462641752668663,0.8944786174575278
7,0,watch_plus_cuff,dropout_trained,0.2943180738267077,0.8506883421206796
7,0,full_home,masked_at_inference,0.3539227659127299,0.8751464557703573
7,0,full_home,dropout_trained,0.3027058189741553,0.8451962507322788
7,1,icu_full,masked_at_inference,0.5426069722686567,0.9263548951048952
7,1,icu_full,dropout_trained,0.3037673531673396,0.7634032634032634
7,1,watch_only,masked_at_inference,0.15936560236534442,0.8229895104895104
7,1,watch_only,dropout_trained,0.23962884672017956,0.8239729020979021
7,1,watch_plus_cuff,masked_at_inference,0.1974626645857981,0.7328088578088578
7,1,watch_plus_cuff,dropout_trained,0.2431034581513632,0.7366695804195804
7,1,full_home,masked_at_inference,0.21101642082409283,0.7342657342657342
7,1,full_home,dropout_trained,0.24734081915735495,0.7427884615384616
7,2,icu_full,masked_at_inference,0.3827199086605751,0.8658290005777007
7,2,icu_full,dropout_trained,0.29167212866633613,0.8126083188908145
7,2,watch_only,masked_at_inference,0.23887448544416556,0.664391969959561
7,2,watch_only,dropout_trained,0.24923604370427135,0.7194540727902946
7,2,watch_plus_cuff,masked_at_inference,0.3361009535065816,0.7619150779896016
7,2,watch_plus_cuff,dropout_trained,0.2485776035232946,0.8071201617562103
7,2,full_home,masked_at_inference,0.30357541223282686,0.747472559214327
7,2,full_home,dropout_trained,0.25668695612128345,0.8118139803581744
7,3,icu_full,masked_at_inference,0.4783833412149363,0.8736842105263157
7,3,icu_full,dropout_trained,0.38365426984363316,0.8542397660818714
7,3,watch_only,masked_at_inference,0.2155883614456527,0.6541301169590643
7,3,watch_only,dropout_trained,0.30923019023923676,0.8109649122807019
7,3,watch_plus_cuff,masked_at_inference,0.314814327783261,0.8406432748538013
7,3,watch_plus_cuff,dropout_trained,0.3570276261868489,0.8478070175438597
7,3,full_home,masked_at_inference,0.3127845309604029,0.8182748538011696
7,3,full_home,dropout_trained,0.3558863432318023,0.8524122807017545
7,4,icu_full,masked_at_inference,0.5686917048431211,0.7410245183887917
7,4,icu_full,dropout_trained,0.5103965126696216,0.7522621132516053
7,4,watch_only,masked_at_inference,0.332162378485787,0.7035537069468769
7,4,watch_only,dropout_trained,0.4693755027353918,0.7508026853473438
7,4,watch_plus_cuff,masked_at_inference,0.4552099246758567,0.8220227670753066
7,4,watch_plus_cuff,dropout_trained,0.48364811628764404,0.7612375948628138
7,4,full_home,masked_at_inference,0.4771178443390072,0.8178633975481611
7,4,full_home,dropout_trained,0.4888657299030029,0.7563485113835375
8,0,icu_full,masked_at_inference,0.38867287413694185,0.7782399299474607
8,0,icu_full,dropout_trained,0.250268828551123,0.7454028021015763
8,0,watch_only,masked_at_inference,0.11191551070842898,0.6439725627553998
8,0,watch_only,dropout_trained,0.20312771919436093,0.7174912434325744
8,0,watch_plus_cuff,masked_at_inference,0.15078510848854085,0.6954903677758318
8,0,watch_plus_cuff,dropout_trained,0.2302859932837445,0.7405137186223
8,0,full_home,masked_at_inference,0.15621528735197582,0.6760799766491535
8,0,full_home,dropout_trained,0.23036474596925446,0.7402948044366607
8,1,icu_full,masked_at_inference,0.453034413354406,0.8367690058479532
8,1,icu_full,dropout_trained,0.2880740553346629,0.7399122807017544
8,1,watch_only,masked_at_inference,0.3297023673125375,0.7066520467836257
8,1,watch_only,dropout_trained,0.2194138051448105,0.7034356725146199
8,1,watch_plus_cuff,masked_at_inference,0.5453211969667654,0.9144005847953216
8,1,watch_plus_cuff,dropout_trained,0.24486798777262458,0.720906432748538
8,1,full_home,masked_at_inference,0.5411633362676259,0.912719298245614
8,1,full_home,dropout_trained,0.2462307969729539,0.7310672514619883
8,2,icu_full,masked_at_inference,0.4662003447442275,0.8550317185697808
