model,repeat,fold,auroc,auprc,n_test,n_pos_test
discharge_context (new),5,3,0.6036585365853658,0.36644024278153214,53,12
discharge_context (new),5,4,0.6157894736842106,0.4056676003734827,48,10
discharge_context (new),6,0,0.5804195804195804,0.38040972872477574,50,11
discharge_context (new),6,1,0.4247967479674796,0.21220509143027466,53,12
discharge_context (new),6,2,0.47804878048780486,0.22216443181734813,51,10
discharge_context (new),6,3,0.575,0.3195164531233629,50,10
discharge_context (new),6,4,0.49473684210526314,0.24137999996199763,48,10
discharge_context (new),7,0,0.6024999999999999,0.2619299350878298,50,10
discharge_context (new),7,1,0.425,0.18538585408150626,49,9
discharge_context (new),7,2,0.589430894308943,0.2996661938967129,53,12
discharge_context (new),7,3,0.6958333333333333,0.46703967018942066,52,12
discharge_context (new),7,4,0.4447368421052632,0.19488565496630011,48,10
discharge_context (new),8,0,0.563157894736842,0.25492425186036766,48,10
discharge_context (new),8,1,0.3236842105263158,0.16621897152197124,48,10
discharge_context (new),8,2,0.5769230769230769,0.25673427993195436,49,10
discharge_context (new),8,3,0.5227272727272727,0.23024308881866562,51,11
discharge_context (new),8,4,0.5018939393939393,0.2350360254550345,56,12
discharge_context (new),9,0,0.6973684210526316,0.48328363446897926,48,10
discharge_context (new),9,1,0.5594405594405594,0.2583505714406886,50,11
discharge_context (new),9,2,0.5499999999999999,0.3254463020906303,50,10
discharge_context (new),9,3,0.6544715447154471,0.32978104754833887,53,12
discharge_context (new),9,4,0.36585365853658536,0.16316595601486245,51,10
discharge_context (new),10,0,0.516629711751663,0.3478820263803981,52,11
discharge_context (new),10,1,0.655,0.28767468737720453,50,10
discharge_context (new),10,2,0.43253968253968256,0.2004206322219512,54,12
discharge_context (new),10,3,0.5,0.23433602250395907,48,10
discharge_context (new),10,4,0.4052631578947368,0.2094707120466347,48,10
discharge_context (new),11,0,0.3348115299334811,0.16639104925536383,52,11
discharge_context (new),11,1,0.6973684210526315,0.44762024522968435,48,10
discharge_context (new),11,2,0.5420393559928444,0.34676846277603074,56,13
discharge_context (new),11,3,0.4157894736842106,0.19423966212665902,48,10
discharge_context (new),11,4,0.43304843304843305,0.17837382991992973,48,9
discharge_context (new),12,0,0.6205128205128205,0.26413504142915906,49,10
discharge_context (new),12,1,0.5599999999999999,0.3289334447229184,50,10
discharge_context (new),12,2,0.47560975609756095,0.2876225714303663,53,12
discharge_context (new),12,3,0.545,0.23802263895699755,50,10
discharge_context (new),12,4,0.5571095571095571,0.2726533879515438,50,11
discharge_context (new),13,0,0.43414634146341463,0.17965164991828986,51,10
discharge_context (new),13,1,0.48611111111111116,0.2214516672940586,54,12
discharge_context (new),13,2,0.676923076923077,0.32925080091084935,49,10
discharge_context (new),13,3,0.43783783783783786,0.2075178621622156,47,10
discharge_context (new),13,4,0.5477272727272727,0.2772569459525981,51,11
discharge_context (new),14,0,0.6438746438746439,0.41386904761904764,48,9
discharge_context (new),14,1,0.675,0.38500048437936635,51,11
discharge_context (new),14,2,0.5476190476190477,0.2271940439374331,53,11
discharge_context (new),14,3,0.41041666666666665,0.2047843935491016,52,12
discharge_context (new),14,4,0.4026315789473684,0.1868134240960328,48,10
discharge_context (new),15,0,0.5658536585365853,0.2375505148005148,51,10
discharge_context (new),15,1,0.5173076923076922,0.2602817862204214,53,13
discharge_context (new),15,2,0.38974358974358975,0.17682123502393027,49,10
discharge_context (new),15,3,0.40555555555555556,0.1615650443307822,49,9
discharge_context (new),15,4,0.4102564102564103,0.19069341768192188,50,11
discharge_context (new),16,0,0.49250000000000005,0.22405602524410576,50,10
discharge_context (new),16,1,0.4801587301587302,0.22198468827035545,54,12
discharge_context (new),16,2,0.6038961038961039,0.34789364189394023,53,11
discharge_context (new),16,3,0.4736842105263158,0.20898970816193696,48,10
discharge_context (new),16,4,0.5081081081081081,0.2269370126179589,47,10
discharge_context (new),17,0,0.4623015873015873,0.2069155959566269,54,12
